id,memberId,bossName,seasonId,bossId,assignedAt,unassignedAt,createdAt,updatedAt,attackNumber,role,guard1Number,guard2Number,performance
60023,30002,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60024,90015,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60025,60001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60026,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60027,30015,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60028,30001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60029,150001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60030,30004,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60031,2,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60032,30017,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60033,90010,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60034,90012,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60035,90022,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60036,60002,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60037,90014,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60038,30003,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60039,30016,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60040,90001,Orfeu,1,1,2024-12-31 00:00:00,,20260101153956,20260126182140,1,guards,,,
60041,90016,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60042,30013,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60043,90005,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60044,90006,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60045,30005,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60046,90007,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60047,90018,Orfeu,1,1,2024-12-31 00:00:00,,20260101154144,20260126182140,1,guards,,,
60048,90015,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60049,90001,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60050,30017,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60051,30006,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60052,90004,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60053,30002,Orfeu,1,1,2024-12-31 00:00:00,,20260101154352,20260126182140,1,guards,,,
60054,30013,Orfeu,1,1,2024-12-31 00:00:00,,20260101154430,20260126182140,1,guards,,,
60055,90014,Orfeu,1,1,2024-12-31 00:00:00,,20260101154430,20260126182140,1,guards,,,
60056,30010,Orfeu,1,1,2024-12-31 00:00:00,,20260101154430,20260126182140,1,guards,,,
60057,30001,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60058,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60059,90002,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60060,90018,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60061,60001,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60062,90010,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60063,90003,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60064,30012,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60065,90013,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60066,90006,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60067,1,Orfeu,1,1,2024-12-31 00:00:00,,20260101154635,20260126182140,1,guards,,,
60068,30009,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
60069,30016,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
60070,90022,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
60071,90016,Orfeu,1,1,2024-12-31 00:00:00,,20260101154723,20260126182140,1,guards,,,
90001,30010,Orfeu,1,1,2024-12-31 00:00:00,,20260102025030,20260126182140,1,guards,,,
90002,30018,Orfeu,1,1,2024-12-31 00:00:00,,20260102025030,20260126182140,1,guards,,,
90003,90008,Orfeu,1,1,2024-12-31 00:00:00,,20260102025030,20260126182140,1,guards,,,
